Txn Hash,UnixTimestamp,Date Time (UTC),Buyer,NFT,Token ID,Type,Quantity,Price
0xcfef2682a0c91e3a9aaad2683b931474b18e5671ae2ed78152b630b664c6a9b0,1662595384,2022-09-08 00:03:04,0x7abf54de83f12b660e2ba5f808a357b5cfa3d0a4,MutantApeYachtClub,29276,721,1,13221.6
0x684ea4ede4e56aeede778ef43486af1781d947c18e4a4cde1160c25aa4d380e8,1662424629,2022-09-06 00:37:09,0x1712622779126319092742626493762644589712,Ethereum Name Service,90421035986769121897475751193851576278547811716031598845119084984146975671480,721,1,13098.39003
0xe0cfbda19fa5458f5bb3b4f203ac7c225d319fab3b48d0f5be90086b2d0c623c,1656979488,2022-07-05 00:04:48,0x3009080861278985318534791448418993437333,Art Blocks,304000133,721,1,13073.500600000001
0x0dc6707ff4ec7d08ac2d8782c6a896486c09f941e77732ab2101292c08b2e2e0,1657411673,2022-07-10 00:07:53,0x3e8a6726f43e6a7470ff2c99db5b73a2f81afb3d,The Saudis,4884,721,9,12534.918078677776
0xc2890cbe8c1f19bd500af83f8cdf919d6a01a175427a40573cc3f39d8a02dfe4,1657757116,2022-07-14 00:05:16,0x4320428542489681987951935211440466784271,MutantApeYachtClub,19240,721,2,12449.168898
0xf8dd3119eb79d392da1bd5fb140f7cf4373f294b9d605651a79a39c3e76719c5,1657844929,2022-07-15 00:28:49,0x1897905491767824569119709599022132950170,Otherdeed,23689,721,1,11789.73
0x512f626cdc37b3664a53d744a6403619689568e07b72e507abd275f83eb111d9,1664497331,2022-09-30 00:22:11,0x4571226945324391075285869735522853562090,"Hello, i'm Victor FEWOCiOUS And This is My Life!",60000020011,721,1,11789.73
0x7605e907dea3609b8518baf930e65b1a9edbb7217e95d1890f6c4481f2ec61d9,1657584452,2022-07-12 00:07:32,0x8984057823771921756108692291803736491884,goodblocks,2906,721,10,11661.469394000005
0x3e839114b28c5ea3e62758f93d71cf262f6febc8594cf0b9a7df1aa03dd7ffea,1658881434,2022-07-27 00:23:54,0x8775706534733245363120034875565337428440,CloneX,10381,721,1,11643.01336
0x74a0f621c92b82aaafdcec5998a9e2e3acf56bb78f2fa0fff21079c366a17e27,1656979582,2022-07-05 00:06:22,0x0a8da356dc80da3a114d63e752cb42923b124019,jungleking,5672,721,9,11528.971447262224
0xc97a0a9b0f7d611d8dbaa97302668ee021dda7ad82cff8711ad8ef639decd5a2,1659917532,2022-08-08 00:12:12,0x81bd53f47656b307f05b37b02b5bd1638b87b2ec,0xa604060890923ff400e8c6f5290461a83aedacec,95111824051936414685655645266312886525651666334922470356023354270608156262401,1155,1,11238.36
0xdba81549de7f4f6b9c053d252c320eff8a1e9ded7f978b8a53f62f6d92468d04,1661300315,2022-08-24 00:18:35,0x0550d681d189949c6231241461568b2f3a2cf65e,CloneX,11637,721,1,11069.2465
0xeef2069b0c012f9419d683363a8c2753c8699200173498473e5354a82b66f25d,1656634466,2022-07-01 00:14:26,0x7270663750134620335962308643477354505075,God Hates NFTees,1657,721,13,10744.277922707694
